Timestamp,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,Is the level of detail of this description appropriate for the scenario?,,,,,,,,,,
2016/10/11 8:50:28 pm GMT-6,2,2,2,3,4,5,Description V,,,Description V,Description V,Description VI,Description VI,Description VI,Description V,
2016/10/12 12:19:44 am GMT-6,4,1,1,4,4,5,Description IV,,,Description IV,Description V,Description IV,Description V,Description III,Description V,
2016/10/12 1:33:44 am GMT-6,2,1,3,4,4,5,Description III;Description IV;I would put parameters  info to boss. Depending on boss background of tech to decide how mush info and detail abt workflow I will noffer. Parameters is important,,,Description III,Description I,Description III,Description VI,Description II,Description V,
2016/10/12 11:32:48 am GMT-6,3,3,2,2,2,5,Description I,,,Description I,Description V,Description V,Description V,Description V,Description V,
2016/10/12 1:51:26 pm GMT-6,4,3,3,3,5,5,Description IV,,,Description IV,Description V,Description IV,Description V,Description II,Description VI,
2016/10/12 2:38:43 pm GMT-6,4,4,2,3,4,5,Description VI,,,Description VI,Description VI,Description VI,Description VI,Description VI,Description VI,
2016/10/12 2:54:47 pm GMT-6,4,1,3,2,3,2,Description I,,,Description I,Description IV,Description VI,Other,Other,Description VI,
2016/10/12 4:07:47 pm GMT-6,2,3,3,4,4,4,Description V,,,Description V,Description I,Description I,Description V,Description VI,Description V,
2016/10/12 6:03:10 pm GMT-6,1,1,2,3,4,5,Description IV,,,Description IV,Description IV,Description V,Description V,Description VI,Description VI,
2016/10/12 7:23:46 pm GMT-6,1,1,3,3,4,5,Description IV,,,Description IV,Description IV,Description III,Description III,Description IV,Description VI,
2016/10/12 9:37:29 pm GMT-6,4,3,3,3,5,5,Description II,,,Description II,Description IV,Description VI,Description IV,Description IV,Description VI,
2016/10/13 4:08:50 am GMT-6,5,5,2,3,5,5,Description V,,,Description V,Description IV,Description IV,Description IV,Description IV,Description IV,
sc2,1,1,2,3,4,4,Description V;Description VI,,,,,,,,,
,1,1,2,1,4,5,Description V,,,SC1,SC2,SC3,SC4,SC5,SC6," Table grouping the selected description per scenario. If multiple available, we chose the first one."
,3,1,2,3,4,4,Description I;Description IV,,N1,2,2,1,0,0,0,
,1,1,3,3,3,4,Description V,,N2,1,0,0,0,2,0,
,2,1,3,2,3,5,Description V,,N3,1,0,2,1,1,0,
,4,2,3,3,4,5,Description VI,,N4,4,5,3,2,3,1,
,3,1,4,3,4,5,Description IV,,N5,3,4,2,5,1,5,
,4,2,2,2,2,4,Description I,,N6,1,1,4,3,4,6,
,1,1,3,3,4,5,Description IV,,Other,0,0,0,1,1,0,
,1,1,3,3,4,5,Description IV,,,,,,,,,
,1,1,2,3,4,5,Description IV,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
sc3,2,1,3,3,4,4,Description VI,,,,,,,,,
,1,1,2,3,4,5,Description IV,,,,,,,,,
,1,1,3,3,4,4,Description III;Description IV;Description VI,,,,,,,,,
,2,1,2,2,3,3,Description V,,,,,,,,,
,2,1,3,3,3,5,Description IV,,,,,,,,,
,4,2,3,3,4,5,Description VI,,,,,,,,,
,2,1,4,3,4,5,Description VI,,,,,,,,,
,4,2,3,2,3,4,Description I,,,,,,,,,
,2,2,2,3,3,4,Description V,,,,,,,,,
,1,1,3,2,4,5,Description III,,,,,,,,,
,1,1,1,2,2,3,Description VI,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
sc4,2,1,3,3,4,4,Description VI,,,,,,,,,
,1,1,1,2,3,5,Description V,,,,,,,,,
,2,2,2,2,2,3,Description VI,,,,,,,,,
,1,1,3,3,3,4,Description V,,,,,,,,,
,1,1,2,2,3,4,Description V,,,,,,,,,
,3,2,3,4,4,5,Description VI,,,,,,,,,
,2,1,3,4,4,5,"I would use a  complement of description I and IV, then add the description of the parameters used in the words to remove file, this information should be given for the analysis of last year and this year to compare them (to be equal)",,,,,,,,,
,3,1,2,2,3,4,Description V,,,,,,,,,
,1,1,2,3,3,4,Description V,,,,,,,,,
,1,1,3,3,3,5,Description III,,,,,,,,,
,1,1,2,3,4,5,Description IV,,,,,,,,,
,3,1,2,3,4,5,Description IV,,,,,,,,,
sc5,2,1,3,3,3,4,Description VI,,,,,,,,,
,1,1,4,3,4,5,Description III,,,,,,,,,
,5,3,4,4,4,5,Description II;Should only let them know the database and results are enought,,,,,,,,,
,1,1,3,2,3,5,Description V,,,,,,,,,
,4,3,5,5,5,5,Description II,,,,,,,,,
,4,2,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,3,4,5,I would use description IV plus the information that we are only looking for the top 10 topics (parameter),,,,,,,,,
,2,1,3,3,3,4,Description VI,,,,,,,,,
,1,1,2,2,2,3,Description VI,,,,,,,,,
,1,1,4,3,4,5,Description IV,,,,,,,,,
,1,1,3,3,4,5,Description IV,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
sc6,1,1,2,3,4,5,Description V,,,,,,,,,
,1,1,3,2,3,5,Description V,,,,,,,,,
,1,1,2,2,3,3,Description V;Description VI,,,,,,,,,
,1,1,2,2,4,4,Description V,,,,,,,,,
,1,1,2,2,2,3,Description VI,,,,,,,,,
,4,2,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,3,4,5,Description VI,,,,,,,,,
,2,1,3,2,4,5,Description V,,,,,,,,,
,1,1,1,1,2,3,Description VI,,,,,,,,,
,1,1,2,2,3,3,Description VI,,,,,,,,,
,3,1,4,3,4,5,Description IV,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
median,2,1,3,3,4,5,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Box and whiskers chart for all scenarios,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Overall detail,N1,N2,N3,N4,N5,N6,,,,,,,,,,
1,26,44,3,2,0,0,,,,,,,,,,
2,17,10,21,19,7,1,,,,,,,,,,
3,5,5,30,32,18,7,,,,,,,,,,
4,11,1,5,6,33,17,,,,,,,,,,
5,1,0,1,1,2,35,,,,,,,,,,
